strategy,v_trades,wf_trades,trade_delta_pct,v_return_pct,wf_return_pct,return_delta_pct
pivot_point,122,107,-12.3,1.9,3.19,1.29
ttm_squeeze,27,26,-3.7,0.21,0.34,0.12
bb_mean_reversion,22,20,-9.1,0.54,0.33,-0.22
supply_demand,33,27,-18.2,0.37,0.31,-0.06
cci_divergence,25,25,0.0,0.21,0.21,0.0
bb_squeeze,31,31,0.0,0.18,0.18,0.0
choppiness_volume,1,1,0.0,0.1,0.1,0.0
ttm_squeeze_trend,19,18,-5.3,-0.05,0.07,0.12
gmma,38,34,-10.5,-0.57,0.04,0.61
adx_dmi_obv,15,15,0.0,0.03,0.03,0.0
choppiness_breakout,3,3,0.0,0.02,0.02,0.0
mfi_divergence,0,0,0.0,0.0,0.0,0.0
ha_trend,0,0,0.0,0.0,0.0,0.0
wyckoff_accumulation,0,0,0.0,0.0,0.0,0.0
ma_envelopes,0,0,0.0,0.0,0.0,0.0
stochastic_divergence,0,0,0.0,0.0,0.0,0.0
regular_divergence,0,0,0.0,0.0,0.0,0.0
macd_divergence,0,0,0.0,0.0,0.0,0.0
wyckoff_distribution,0,0,0.0,0.0,0.0,0.0
roc_divergence,0,0,0.0,0.0,0.0,0.0
fib_3wave,2,0,-100.0,0.15,0.0,-0.15
trix_divergence,0,0,0.0,0.0,0.0,0.0
choppiness_filter,6,6,0.0,-0.11,-0.11,0.0
london_breakout,23,16,-30.4,-0.44,-0.13,0.3
trix_zero_line,7,7,0.0,-0.14,-0.14,0.0
kumo_breakout,15,15,0.0,-0.14,-0.14,0.0
vwma_sma,12,12,0.0,-0.14,-0.14,0.0
stochastic_confluence,13,13,0.0,-0.22,-0.22,0.0
stochrsi_macd,14,14,0.0,-0.34,-0.34,0.0
adx_filter,3,3,0.0,-0.35,-0.35,0.0
volume_oscillator,43,34,-20.9,-0.29,-0.42,-0.13
chandelier_exit,29,29,0.0,-0.87,-0.87,0.0
macd_zero_line,33,30,-9.1,-0.7,-0.99,-0.29
tdi,132,132,0.0,-1.02,-1.02,0.0
ma_crossover_swing,52,46,-11.5,-1.05,-1.1,-0.05
ascending_triangle,32,28,-12.5,-1.15,-1.2,-0.06
rsi_trend_confirmation,86,79,-8.1,-1.11,-1.38,-0.26
macd_ma_filter,36,36,0.0,-1.43,-1.43,0.0
ema_3_scalping,84,76,-9.5,-1.46,-1.6,-0.14
momentum_zero,62,56,-9.7,-2.53,-1.81,0.72
renko_sma_obv,129,108,-16.3,-2.51,-1.99,0.51
atr_breakout,105,96,-8.6,-1.87,-2.19,-0.32
ichimoku_trend,26,26,0.0,-2.23,-2.23,0.0
rsi_centerline,127,118,-7.1,-2.32,-2.24,0.08
golden_ratio,68,68,0.0,-2.25,-2.25,0.0
mcginley_dynamic,104,105,1.0,-2.65,-2.59,0.06
elliott_abc,80,80,0.0,-2.64,-2.64,0.0
elliott_wave3,61,61,0.0,-2.71,-2.71,0.0
market_swing,105,100,-4.8,-2.71,-2.81,-0.09
cci_zero_cross,83,78,-6.0,-2.81,-2.99,-0.18
rsi_divergence,64,64,0.0,-3.21,-3.21,0.0
vwap_sd_bands,161,124,-23.0,-4.53,-3.29,1.24
cmf_ichimoku,68,68,0.0,-3.34,-3.34,0.0
cpr,197,171,-13.2,-3.82,-3.52,0.31
donchian_turtle,176,161,-8.5,-3.86,-3.69,0.17
cmf_strategy,111,100,-9.9,-3.81,-3.71,0.1
hidden_divergence,92,87,-5.4,-4.38,-3.79,0.59
hull_slope,163,163,0.0,-3.79,-3.79,0.0
candlestick_patterns,260,254,-2.3,-3.28,-3.83,-0.56
roc_ma,104,104,0.0,-3.86,-3.86,0.0
ichimoku_ha,70,70,0.0,-3.93,-3.93,0.0
obv_strategy,155,211,36.1,-3.07,-3.96,-0.89
vwap_scalping,100,340,240.0,-1.08,-4.16,-3.09
psar_ichimoku,52,52,0.0,-4.22,-4.22,0.0
double_vwap_ha,129,323,150.4,-5.19,-5.13,0.06
renko_sr,333,333,0.0,-5.99,-5.99,0.0
multi_timeframe,97,90,-7.2,-7.06,-6.04,1.02
atr_trailing_stop,124,111,-10.5,-6.59,-6.13,0.46
double_bb,105,97,-7.6,-7.26,-6.58,0.68
swing_pivot,291,291,0.0,-7.08,-7.08,0.0
vwap_pullback,137,113,-17.5,-7.51,-7.09,0.42
ha_rsi,196,182,-7.1,-8.25,-7.34,0.91
ema_21_55,50,120,140.0,-0.23,-8.18,-7.95
ema_scalping_1min,51,161,215.7,-0.79,-8.53,-7.74
fib_confluence,310,310,0.0,-8.58,-8.58,0.0
alligator,276,281,1.8,-10.13,-10.21,-0.08
fib_pivot,479,479,0.0,-12.19,-12.19,0.0
fib_retracement,481,461,-4.2,-14.7,-13.8,0.9
