symbol,date,open,high,low,close,volume,change_pct,signal
ADANIPORTS,2026-01-09,1463.0,1463.0,1431.0,1434.0,2273740,-2.1294021294021324,0
APOLLOHOSP,2026-01-09,7348.0,7360.5,7225.0,7255.0,312076,-1.4868626519111956,0
ASIANPAINT,2026-01-09,2789.9,2856.7,2786.2,2838.9,1653664,1.88049524493092,0
AXISBANK,2026-01-09,1286.8,1295.3,1270.1,1274.5,5479614,-0.9558594964252374,0
BAJAJ-AUTO,2026-01-09,9760.5,9830.0,9538.0,9578.5,250477,-1.8646585728190155,0
BAJAJFINSV,2026-01-09,2008.9,2014.2,1981.2,1989.1,1136636,-0.9856140176215931,0
BAJFINANCE,2026-01-09,970.1,983.0,953.7,961.5,7552503,-1.0751581871495492,0
BHARTIARTL,2026-01-09,2070.2,2084.0,2023.2,2031.1,4117145,-1.7035280452983723,0
BPCL,2026-01-09,353.0,359.65,352.2,355.2,5233990,0.18333098293610978,0
BRITANNIA,2026-01-09,6033.5,6106.5,5930.0,6003.0,138812,-0.5055108974890197,0
CIPLA,2026-01-09,1464.7,1468.3,1456.1,1466.0,1800030,0.36971107763933253,0
COALINDIA,2026-01-09,423.7,428.35,417.2,419.9,7274431,-1.2580834803057077,0
DIVISLAB,2026-01-09,6600.0,6657.0,6529.5,6607.5,349907,0.10605257177486553,0
DRREDDY,2026-01-09,1207.0,1216.4,1203.6,1212.3,1386689,0.44742729306486556,0
EICHERMOT,2026-01-09,7582.0,7613.5,7486.0,7510.0,473307,-0.5429744404714607,0
GRASIM,2026-01-09,2799.8,2807.9,2766.7,2772.6,551958,-0.6948424068767941,0
HCLTECH,2026-01-09,1647.1,1675.0,1647.1,1662.1,3265873,0.9352037408149549,0
HDFCBANK,2026-01-09,945.0,950.6,933.3,939.0,37651542,-0.8133516425478023,0
HDFCLIFE,2026-01-09,758.2,760.75,747.7,749.7,3263387,-1.114555167183266,0
HEROMOTOCO,2026-01-09,5850.0,5891.0,5751.0,5779.0,498797,-1.2136752136752136,0
HINDALCO,2026-01-09,902.0,908.45,894.0,904.0,4297033,0.005531279384916701,0
HINDUNILVR,2026-01-09,2382.0,2386.0,2361.0,2369.2,1185240,-0.733229982821469,0
ICICIBANK,2026-01-09,1427.1,1429.5,1401.5,1405.0,12361933,-2.0905923344947737,0
INDUSINDBK,2026-01-09,878.05,892.0,878.05,882.0,2492868,-0.16412926594601226,0
INFY,2026-01-09,1610.0,1631.3,1607.0,1616.9,6750279,0.22314510630385773,0
ITC,2026-01-09,340.9,341.0,336.1,338.25,34994786,-0.7773540627750007,0
JSWSTEEL,2026-01-09,1160.0,1170.7,1154.4,1160.2,1385140,0.3720044986590496,0
KOTAKBANK,2026-01-09,2133.0,2133.0,2116.0,2127.9,2057716,-0.23909985935301964,0
LT,2026-01-09,4029.0,4094.0,4006.2,4019.8,1619471,-0.21348426174163213,0
M&M,2026-01-09,3712.1,3748.5,3667.1,3679.0,1219978,-1.2083780880773363,0
MARUTI,2026-01-09,16663.0,16704.0,16417.0,16495.0,284874,-1.014162265962554,0
NESTLEIND,2026-01-09,1306.9,1310.8,1290.1,1299.0,1192561,-0.6044838931823467,0
NTPC,2026-01-09,344.4,344.4,334.4,336.35,10136334,-2.337398373983727,0
ONGC,2026-01-09,232.29,238.25,232.0,234.0,12636361,1.114856105781701,0
POWERGRID,2026-01-09,260.3,263.8,256.25,259.1,14071847,-0.07713073659853012,0
RELIANCE,2026-01-09,1465.0,1479.9,1465.0,1476.0,8113737,0.3671970624235068,0
SBIN,2026-01-09,996.0,1008.0,994.0,1000.05,7759442,0.20541082164328203,0
SHREECEM,2026-01-09,26850.0,27085.0,26670.0,26965.0,33311,0.42830540037243947,0
SUNPHARMA,2026-01-09,1765.2,1765.2,1727.0,1736.1,1582484,-1.3971715794854396,0
TATACONSUM,2026-01-09,1197.3,1207.8,1173.8,1178.9,553535,-1.54501419742776,0
TATAMOTORS,2026-01-09,358.0,359.75,352.2,355.15,7987527,-1.196272082348035,0
TATASTEEL,2026-01-09,179.05,181.5,177.33,178.69,25195846,-0.7939151676660042,0
TCS,2026-01-09,3191.0,3229.7,3191.0,3212.6,1915693,0.27154405568213175,0
TECHM,2026-01-09,1583.0,1606.4,1578.1,1583.2,1397936,0.33588947335065306,0
TITAN,2026-01-09,4231.0,4279.0,4183.1,4205.0,878042,-1.0355377735937867,0
ULTRACEMCO,2026-01-09,12058.0,12065.0,11852.0,11914.0,263307,-1.243368700265252,0
UPL,2026-01-09,789.0,797.75,768.3,770.5,2286163,-3.0207677784770297,0
WIPRO,2026-01-09,261.35,263.95,260.45,262.5,4716181,0.11441647597254438,0
